pcd,lad23cd,lad23nm
"TA1 1AA","E06000066","Somerset"
"TA1 1AB","E06000066","Somerset"
"TA1 1AD","E06000066","Somerset"
"TA1 1AE","E06000066","Somerset"
"TA1 1AF","E06000066","Somerset"
"TA1 1AG","E06000066","Somerset"
"TA1 1AH","E06000066","Somerset"
"TA1 1AJ","E06000066","Somerset"
"TA1 1AL","E06000066","Somerset"
"TA1 1AN","E06000066","Somerset"
"TA1 1AP","E06000066","Somerset"
"TA1 1AR","E06000066","Somerset"
"TA1 1AS","E06000066","Somerset"
"TA1 1AT","E06000066","Somerset"
"TA1 1AU","E06000066","Somerset"
"TA1 1AW","E06000066","Somerset"
"TA1 1AX","E06000066","Somerset"
"TA1 1AY","E06000066","Somerset"
"TA1 1AZ","E06000066","Somerset"
"TA1 1BA","E06000066","Somerset"
"TA1 1BB","E06000066","Somerset"
"TA1 1BD","E06000066","Somerset"
"TA1 1BE","E06000066","Somerset"
"TA1 1BF","E06000066","Somerset"
"TA1 1BG","E06000066","Somerset"
"TA1 1BH","E06000066","Somerset"
"TA1 1BJ","E06000066","Somerset"
"TA1 1BL","E06000066","Somerset"
"TA1 1BN","E06000066","Somerset"
"TA1 1BP","E06000066","Somerset"
"TA1 1BQ","E06000066","Somerset"
"TA1 1BS","E06000066","Somerset"
"TA1 1BT","E06000066","Somerset"
"TA1 1BU","E06000066","Somerset"
"TA1 1BW","E06000066","Somerset"
"TA1 1BX","E06000066","Somerset"
"TA1 1BY","E06000066","Somerset"
"TA1 1BZ","E06000066","Somerset"
"TA1 1DA","E06000066","Somerset"
"TA1 1DB","E06000066","Somerset"
"TA1 1DD","E06000066","Somerset"
"TA1 1DE","E06000066","Somerset"
"TA1 1DF","E06000066","Somerset"
"TA1 1DG","E06000066","Somerset"
"TA1 1DH","E06000066","Somerset"
"TA1 1DJ","E06000066","Somerset"
"TA1 1DL","E06000066","Somerset"
"TA1 1DN","E06000066","Somerset"
"TA1 1DP","E06000066","Somerset"
"TA1 1DQ","E06000066","Somerset"
"TA1 1DR","E06000066","Somerset"
"TA1 1DS","E06000066","Somerset"
"TA1 1DT","E06000066","Somerset"
"TA1 1DU","E06000066","Somerset"
"TA1 1DW","E06000066","Somerset"
"TA1 1DX","E06000066","Somerset"
"TA1 1DY","E06000066","Somerset"
"TA1 1DZ","E06000066","Somerset"
"TA1 1EA","E06000066","Somerset"
"TA1 1EB","E06000066","Somerset"
"TA1 1ED","E06000066","Somerset"
"TA1 1EE","E06000066","Somerset"
"TA1 1EF","E06000066","Somerset"
"TA1 1EG","E06000066","Somerset"
"TA1 1EH","E06000066","Somerset"
"TA1 1EJ","E06000066","Somerset"
"TA1 1EL","E06000066","Somerset"
"TA1 1EN","E06000066","Somerset"
"TA1 1EP","E06000066","Somerset"
"TA1 1EQ","E06000066","Somerset"
"TA1 1ER","E06000066","Somerset"
"TA1 1ES","E06000066","Somerset"
"TA1 1ET","E06000066","Somerset"
"TA1 1EU","E06000066","Somerset"
"TA1 1EW","E06000066","Somerset"
"TA1 1EX","E06000066","Somerset"
"TA1 1EY","E06000066","Somerset"
"TA1 1EZ","E06000066","Somerset"
"TA1 1FA","E06000066","Somerset"
"TA1 1FB","E06000066","Somerset"
"TA1 1FD","E06000066","Somerset"
"TA1 1FE","E06000066","Somerset"
"TA1 1FF","E06000066","Somerset"
"TA1 1FX","E06000066","Somerset"
"TA1 1HA","E06000066","Somerset"
"TA1 1HB","E06000066","Somerset"
"TA1 1HD","E06000066","Somerset"
"TA1 1HE","E06000066","Somerset"
"TA1 1HF","E06000066","Somerset"
"TA1 1HG","E06000066","Somerset"
"TA1 1HH","E06000066","Somerset"
"TA1 1HJ","E06000066","Somerset"
"TA1 1HL","E06000066","Somerset"
"TA1 1HN","E06000066","Somerset"
"TA1 1HP","E06000066","Somerset"
"TA1 1HQ","E06000066","Somerset"
"TA1 1HR","E06000066","Somerset"
"TA1 1HS","E06000066","Somerset"
"TA1 1HT","E06000066","Somerset"
"TA1 1HU","E06000066","Somerset"
"TA1 1HW","E06000066","Somerset"
"TA1 1HX","E06000066","Somerset"
"TA1 1HY","E06000066","Somerset"
"TA1 1HZ","E06000066","Somerset"
"TA1 1JA","E06000066","Somerset"
"TA1 1JB","E06000066","Somerset"
"TA1 1JD","E06000066","Somerset"
"TA1 1JE","E06000066","Somerset"
"TA1 1JF","E06000066","Somerset"
"TA1 1JG","E06000066","Somerset"
"TA1 1JH","E06000066","Somerset"
"TA1 1JJ","E06000066","Somerset"
"TA1 1JL","E06000066","Somerset"
"TA1 1JN","E06000066","Somerset"
"TA1 1JP","E06000066","Somerset"
"TA1 1JQ","E06000066","Somerset"
"TA1 1JR","E06000066","Somerset"
"TA1 1JS","E06000066","Somerset"
"TA1 1JT","E06000066","Somerset"
"TA1 1JU","E06000066","Somerset"
"TA1 1JW","E06000066","Somerset"
"TA1 1JX","E06000066","Somerset"
"TA1 1JY","E06000066","Somerset"
"TA1 1JZ","E06000066","Somerset"
"TA1 1LA","E06000066","Somerset"
"TA1 1LB","E06000066","Somerset"
"TA1 1LD","E06000066","Somerset"
"TA1 1LE","E06000066","Somerset"
"TA1 1LF","E06000066","Somerset"
"TA1 1LG","E06000066","Somerset"
"TA1 1LH","E06000066","Somerset"
"TA1 1LJ","E06000066","Somerset"
"TA1 1LL","E06000066","Somerset"
"TA1 1LN","E06000066","Somerset"
"TA1 1LP","E06000066","Somerset"
"TA1 1LQ","E06000066","Somerset"
"TA1 1LR","E06000066","Somerset"
"TA1 1LT","E06000066","Somerset"
"TA1 1LU","E06000066","Somerset"
"TA1 1LW","E06000066","Somerset"
"TA1 1LX","E06000066","Somerset"
"TA1 1LY","E06000066","Somerset"
"TA1 1LZ","E06000066","Somerset"
"TA1 1NA","E06000066","Somerset"
"TA1 1NB","E06000066","Somerset"
"TA1 1ND","E06000066","Somerset"
"TA1 1NE","E06000066","Somerset"
"TA1 1NF","E06000066","Somerset"
"TA1 1NG","E06000066","Somerset"
"TA1 1NH","E06000066","Somerset"
"TA1 1NJ","E06000066","Somerset"
"TA1 1NL","E06000066","Somerset"
"TA1 1NN","E06000066","Somerset"
"TA1 1NP","E06000066","Somerset"
"TA1 1NQ","E06000066","Somerset"
"TA1 1NR","E06000066","Somerset"
"TA1 1NS","E06000066","Somerset"
"TA1 1NT","E06000066","Somerset"
"TA1 1NU","E06000066","Somerset"
"TA1 1NW","E06000066","Somerset"
"TA1 1NX","E06000066","Somerset"
"TA1 1NY","E06000066","Somerset"
"TA1 1NZ","E06000066","Somerset"
"TA1 1PA","E06000066","Somerset"
"TA1 1PB","E06000066","Somerset"
"TA1 1PD","E06000066","Somerset"
"TA1 1PE","E06000066","Somerset"
"TA1 1PF","E06000066","Somerset"
"TA1 1PG","E06000066","Somerset"
"TA1 1PH","E06000066","Somerset"
"TA1 1PJ","E06000066","Somerset"
"TA1 1PL","E06000066","Somerset"
"TA1 1PN","E06000066","Somerset"
"TA1 1PP","E06000066","Somerset"
"TA1 1PQ","E06000066","Somerset"
"TA1 1PR","E06000066","Somerset"
"TA1 1PS","E06000066","Somerset"
"TA1 1PT","E06000066","Somerset"
"TA1 1PU","E06000066","Somerset"
"TA1 1PW","E06000066","Somerset"
"TA1 1PX","E06000066","Somerset"
"TA1 1PY","E06000066","Somerset"
"TA1 1PZ","E06000066","Somerset"
"TA1 1QA","E06000066","Somerset"
"TA1 1QB","E06000066","Somerset"
"TA1 1QD","E06000066","Somerset"
"TA1 1QE","E06000066","Somerset"
"TA1 1QF","E06000066","Somerset"
"TA1 1QG","E06000066","Somerset"
"TA1 1QH","E06000066","Somerset"
"TA1 1QJ","E06000066","Somerset"
"TA1 1QL","E06000066","Somerset"
"TA1 1QN","E06000066","Somerset"
"TA1 1QP","E06000066","Somerset"
