pcd,lad23cd,lad23nm
"TD1 1AA","S12000026","Scottish Borders"
"TD1 1AB","S12000026","Scottish Borders"
"TD1 1AD","S12000026","Scottish Borders"
"TD1 1AZ","S12000026","Scottish Borders"
"TD1 1BA","S12000026","Scottish Borders"
"TD1 1BB","S12000026","Scottish Borders"
"TD1 1BD","S12000026","Scottish Borders"
"TD1 1BE","S12000026","Scottish Borders"
"TD1 1BG","S12000026","Scottish Borders"
"TD1 1BH","S12000026","Scottish Borders"
"TD1 1BJ","S12000026","Scottish Borders"
"TD1 1BL","S12000026","Scottish Borders"
"TD1 1BN","S12000026","Scottish Borders"
"TD1 1BP","S12000026","Scottish Borders"
"TD1 1BQ","S12000026","Scottish Borders"
"TD1 1BS","S12000026","Scottish Borders"
"TD1 1BT","S12000026","Scottish Borders"
"TD1 1BU","S12000026","Scottish Borders"
"TD1 1BW","S12000026","Scottish Borders"
"TD1 1BX","S12000026","Scottish Borders"
"TD1 1BY","S12000026","Scottish Borders"
"TD1 1BZ","S12000026","Scottish Borders"
"TD1 1DB","S12000026","Scottish Borders"
"TD1 1DD","S12000026","Scottish Borders"
"TD1 1DE","S12000026","Scottish Borders"
"TD1 1DH","S12000026","Scottish Borders"
"TD1 1DL","S12000026","Scottish Borders"
"TD1 1DN","S12000026","Scottish Borders"
"TD1 1DP","S12000026","Scottish Borders"
"TD1 1DQ","S12000026","Scottish Borders"
"TD1 1DR","S12000026","Scottish Borders"
"TD1 1DS","S12000026","Scottish Borders"
"TD1 1DT","S12000026","Scottish Borders"
"TD1 1DU","S12000026","Scottish Borders"
"TD1 1DW","S12000026","Scottish Borders"
"TD1 1DX","S12000026","Scottish Borders"
"TD1 1DY","S12000026","Scottish Borders"
"TD1 1DZ","S12000026","Scottish Borders"
"TD1 1EA","S12000026","Scottish Borders"
"TD1 1EB","S12000026","Scottish Borders"
"TD1 1ED","S12000026","Scottish Borders"
"TD1 1EL","S12000026","Scottish Borders"
"TD1 1EN","S12000026","Scottish Borders"
"TD1 1EP","S12000026","Scottish Borders"
"TD1 1ER","S12000026","Scottish Borders"
"TD1 1ES","S12000026","Scottish Borders"
"TD1 1ET","S12000026","Scottish Borders"
"TD1 1EU","S12000026","Scottish Borders"
"TD1 1EW","S12000026","Scottish Borders"
"TD1 1EX","S12000026","Scottish Borders"
"TD1 1EY","S12000026","Scottish Borders"
"TD1 1EZ","S12000026","Scottish Borders"
"TD1 1HA","S12000026","Scottish Borders"
"TD1 1HB","S12000026","Scottish Borders"
"TD1 1HD","S12000026","Scottish Borders"
"TD1 1HE","S12000026","Scottish Borders"
"TD1 1HF","S12000026","Scottish Borders"
"TD1 1HG","S12000026","Scottish Borders"
"TD1 1HH","S12000026","Scottish Borders"
"TD1 1HJ","S12000026","Scottish Borders"
"TD1 1HL","S12000026","Scottish Borders"
"TD1 1HN","S12000026","Scottish Borders"
"TD1 1HP","S12000026","Scottish Borders"
"TD1 1HQ","S12000026","Scottish Borders"
"TD1 1HR","S12000026","Scottish Borders"
"TD1 1HS","S12000026","Scottish Borders"
"TD1 1HT","S12000026","Scottish Borders"
"TD1 1HW","S12000026","Scottish Borders"
"TD1 1HX","S12000026","Scottish Borders"
"TD1 1HY","S12000026","Scottish Borders"
"TD1 1HZ","S12000026","Scottish Borders"
"TD1 1JA","S12000026","Scottish Borders"
"TD1 1JD","S12000026","Scottish Borders"
"TD1 1JE","S12000026","Scottish Borders"
"TD1 1JF","S12000026","Scottish Borders"
"TD1 1JG","S12000026","Scottish Borders"
"TD1 1JH","S12000026","Scottish Borders"
"TD1 1JJ","S12000026","Scottish Borders"
"TD1 1JL","S12000026","Scottish Borders"
"TD1 1JN","S12000026","Scottish Borders"
"TD1 1JP","S12000026","Scottish Borders"
"TD1 1JQ","S12000026","Scottish Borders"
"TD1 1JR","S12000026","Scottish Borders"
"TD1 1JS","S12000026","Scottish Borders"
"TD1 1JT","S12000026","Scottish Borders"
"TD1 1JU","S12000026","Scottish Borders"
"TD1 1JW","S12000026","Scottish Borders"
"TD1 1JX","S12000026","Scottish Borders"
"TD1 1JY","S12000026","Scottish Borders"
"TD1 1JZ","S12000026","Scottish Borders"
