pcd,lad23cd,lad23nm
"TQ1 1AA","E06000027","Torbay"
"TQ1 1AD","E06000027","Torbay"
"TQ1 1AE","E06000027","Torbay"
"TQ1 1AF","E06000027","Torbay"
"TQ1 1AG","E06000027","Torbay"
"TQ1 1AH","E06000027","Torbay"
"TQ1 1AJ","E06000027","Torbay"
"TQ1 1AL","E06000027","Torbay"
"TQ1 1AN","E06000027","Torbay"
"TQ1 1AP","E06000027","Torbay"
"TQ1 1AQ","E06000027","Torbay"
"TQ1 1AR","E06000027","Torbay"
"TQ1 1BA","E06000027","Torbay"
"TQ1 1BB","E06000027","Torbay"
"TQ1 1BD","E06000027","Torbay"
"TQ1 1BE","E06000027","Torbay"
"TQ1 1BG","E06000027","Torbay"
"TQ1 1BH","E06000027","Torbay"
"TQ1 1BJ","E06000027","Torbay"
"TQ1 1BL","E06000027","Torbay"
"TQ1 1BN","E06000027","Torbay"
"TQ1 1BP","E06000027","Torbay"
"TQ1 1BQ","E06000027","Torbay"
"TQ1 1BS","E06000027","Torbay"
"TQ1 1BT","E06000027","Torbay"
"TQ1 1BU","E06000027","Torbay"
"TQ1 1BW","E06000027","Torbay"
"TQ1 1BX","E06000027","Torbay"
"TQ1 1BY","E06000027","Torbay"
"TQ1 1BZ","E06000027","Torbay"
"TQ1 1DA","E06000027","Torbay"
"TQ1 1DB","E06000027","Torbay"
"TQ1 1DD","E06000027","Torbay"
"TQ1 1DE","E06000027","Torbay"
"TQ1 1DF","E06000027","Torbay"
"TQ1 1DG","E06000027","Torbay"
"TQ1 1DH","E06000027","Torbay"
"TQ1 1DJ","E06000027","Torbay"
"TQ1 1DL","E06000027","Torbay"
"TQ1 1DN","E06000027","Torbay"
"TQ1 1DP","E06000027","Torbay"
"TQ1 1DR","E06000027","Torbay"
"TQ1 1DS","E06000027","Torbay"
"TQ1 1DT","E06000027","Torbay"
"TQ1 1DU","E06000027","Torbay"
"TQ1 1DW","E06000027","Torbay"
"TQ1 1DY","E06000027","Torbay"
"TQ1 1DZ","E06000027","Torbay"
"TQ1 1EA","E06000027","Torbay"
"TQ1 1EB","E06000027","Torbay"
"TQ1 1ED","E06000027","Torbay"
"TQ1 1EE","E06000027","Torbay"
"TQ1 1EF","E06000027","Torbay"
"TQ1 1EG","E06000027","Torbay"
"TQ1 1EH","E06000027","Torbay"
"TQ1 1EJ","E06000027","Torbay"
"TQ1 1EL","E06000027","Torbay"
"TQ1 1EN","E06000027","Torbay"
"TQ1 1EP","E06000027","Torbay"
"TQ1 1EQ","E06000027","Torbay"
"TQ1 1ER","E06000027","Torbay"
"TQ1 1ES","E06000027","Torbay"
"TQ1 1ET","E06000027","Torbay"
"TQ1 1EU","E06000027","Torbay"
"TQ1 1EW","E06000027","Torbay"
"TQ1 1EX","E06000027","Torbay"
"TQ1 1EY","E06000027","Torbay"
"TQ1 1EZ","E06000027","Torbay"
"TQ1 1FA","E06000027","Torbay"
"TQ1 1HA","E06000027","Torbay"
"TQ1 1HB","E06000027","Torbay"
"TQ1 1HD","E06000027","Torbay"
"TQ1 1HE","E06000027","Torbay"
"TQ1 1HF","E06000027","Torbay"
"TQ1 1HG","E06000027","Torbay"
"TQ1 1HH","E06000027","Torbay"
"TQ1 1HJ","E06000027","Torbay"
"TQ1 1HL","E06000027","Torbay"
"TQ1 1HN","E06000027","Torbay"
"TQ1 1HP","E06000027","Torbay"
"TQ1 1HQ","E06000027","Torbay"
"TQ1 1HR","E06000027","Torbay"
"TQ1 1HS","E06000027","Torbay"
"TQ1 1HT","E06000027","Torbay"
"TQ1 1HU","E06000027","Torbay"
"TQ1 1HW","E06000027","Torbay"
"TQ1 1HX","E06000027","Torbay"
"TQ1 1HY","E06000027","Torbay"
"TQ1 1HZ","E06000027","Torbay"
"TQ1 1JA","E06000027","Torbay"
"TQ1 1JB","E06000027","Torbay"
"TQ1 1JD","E06000027","Torbay"
"TQ1 1JE","E06000027","Torbay"
"TQ1 1JF","E06000027","Torbay"
"TQ1 1JG","E06000027","Torbay"
"TQ1 1JH","E06000027","Torbay"
"TQ1 1JJ","E06000027","Torbay"
"TQ1 1JL","E06000027","Torbay"
"TQ1 1JN","E06000027","Torbay"
"TQ1 1JP","E06000027","Torbay"
"TQ1 1JQ","E06000027","Torbay"
"TQ1 1JR","E06000027","Torbay"
"TQ1 1JS","E06000027","Torbay"
"TQ1 1JT","E06000027","Torbay"
"TQ1 1JU","E06000027","Torbay"
"TQ1 1JW","E06000027","Torbay"
"TQ1 1JX","E06000027","Torbay"
"TQ1 1JY","E06000027","Torbay"
"TQ1 1JZ","E06000027","Torbay"
"TQ1 1LA","E06000027","Torbay"
"TQ1 1LB","E06000027","Torbay"
"TQ1 1LD","E06000027","Torbay"
"TQ1 1LE","E06000027","Torbay"
"TQ1 1LF","E06000027","Torbay"
"TQ1 1LG","E06000027","Torbay"
"TQ1 1LH","E06000027","Torbay"
"TQ1 1LJ","E06000027","Torbay"
"TQ1 1LL","E06000027","Torbay"
"TQ1 1LN","E06000027","Torbay"
"TQ1 1LP","E06000027","Torbay"
"TQ1 1LQ","E06000027","Torbay"
"TQ1 1LR","E06000027","Torbay"
"TQ1 1LS","E06000027","Torbay"
"TQ1 1LT","E06000027","Torbay"
"TQ1 1LU","E06000027","Torbay"
"TQ1 1LW","E06000027","Torbay"
"TQ1 1LX","E06000027","Torbay"
"TQ1 1LY","E06000027","Torbay"
"TQ1 1LZ","E06000027","Torbay"
"TQ1 1NA","E06000027","Torbay"
"TQ1 1NB","E06000027","Torbay"
"TQ1 1ND","E06000027","Torbay"
"TQ1 1NE","E06000027","Torbay"
"TQ1 1NF","E06000027","Torbay"
"TQ1 1NG","E06000027","Torbay"
"TQ1 1NL","E06000027","Torbay"
"TQ1 1NN","E06000027","Torbay"
"TQ1 1NP","E06000027","Torbay"
"TQ1 1NR","E06000027","Torbay"
"TQ1 1NS","E06000027","Torbay"
"TQ1 1NT","E06000027","Torbay"
"TQ1 1NU","E06000027","Torbay"
"TQ1 1NW","E06000027","Torbay"
"TQ1 1NX","E06000027","Torbay"
"TQ1 1NY","E06000027","Torbay"
"TQ1 1NZ","E06000027","Torbay"
"TQ1 1PA","E06000027","Torbay"
"TQ1 1PB","E06000027","Torbay"
"TQ1 1PD","E06000027","Torbay"
"TQ1 1PE","E06000027","Torbay"
"TQ1 1PF","E06000027","Torbay"
"TQ1 1PG","E06000027","Torbay"
"TQ1 1PH","E06000027","Torbay"
"TQ1 1PJ","E06000027","Torbay"
"TQ1 1PL","E06000027","Torbay"
"TQ1 1PN","E06000027","Torbay"
"TQ1 1PP","E06000027","Torbay"
"TQ1 1PQ","E06000027","Torbay"
"TQ1 1PR","E06000027","Torbay"
"TQ1 1PS","E06000027","Torbay"
"TQ1 1PT","E06000027","Torbay"
"TQ1 1PU","E06000027","Torbay"
"TQ1 1PW","E06000027","Torbay"
"TQ1 1PX","E06000027","Torbay"
"TQ1 1PY","E06000027","Torbay"
"TQ1 1PZ","E06000027","Torbay"
"TQ1 1QA","E06000027","Torbay"
"TQ1 1QB","E06000027","Torbay"
"TQ1 1QD","E06000027","Torbay"
"TQ1 1QE","E06000027","Torbay"
"TQ1 1QF","E06000027","Torbay"
"TQ1 1QG","E06000027","Torbay"
"TQ1 1QH","E06000027","Torbay"
"TQ1 1QJ","E06000027","Torbay"
"TQ1 1QL","E06000027","Torbay"
"TQ1 1QN","E06000027","Torbay"
"TQ1 1QP","E06000027","Torbay"
"TQ1 1QQ","E06000027","Torbay"
"TQ1 1QR","E06000027","Torbay"
"TQ1 1QS","E06000027","Torbay"
"TQ1 1QT","E06000027","Torbay"
"TQ1 1QU","E06000027","Torbay"
"TQ1 1QW","E06000027","Torbay"
"TQ1 1QX","E06000027","Torbay"
"TQ1 1QY","E06000027","Torbay"
"TQ1 1QZ","E06000027","Torbay"
"TQ1 1RA","E06000027","Torbay"
"TQ1 1RB","E06000027","Torbay"
"TQ1 1RD","E06000027","Torbay"
"TQ1 1RE","E06000027","Torbay"
"TQ1 1RF","E06000027","Torbay"
"TQ1 1RG","E06000027","Torbay"
"TQ1 1RH","E06000027","Torbay"
"TQ1 1RJ","E06000027","Torbay"
"TQ1 1RL","E06000027","Torbay"
"TQ1 1RN","E06000027","Torbay"
"TQ1 1RP","E06000027","Torbay"
"TQ1 1RQ","E06000027","Torbay"
"TQ1 1RR","E06000027","Torbay"
"TQ1 1RS","E06000027","Torbay"
"TQ1 1RT","E06000027","Torbay"
"TQ1 1RU","E06000027","Torbay"
"TQ1 1RW","E06000027","Torbay"
"TQ1 1RX","E06000027","Torbay"
"TQ1 1RY","E06000027","Torbay"
"TQ1 1RZ","E06000027","Torbay"
"TQ1 1SA","E06000027","Torbay"
"TQ1 1SB","E06000027","Torbay"
"TQ1 1SD","E06000027","Torbay"
"TQ1 1SE","E06000027","Torbay"
"TQ1 1SF","E06000027","Torbay"
"TQ1 1SG","E06000027","Torbay"
"TQ1 1SH","E06000027","Torbay"
"TQ1 1SJ","E06000027","Torbay"
"TQ1 1SL","E06000027","Torbay"
"TQ1 1SN","E06000027","Torbay"
"TQ1 1SP","E06000027","Torbay"
"TQ1 1SQ","E06000027","Torbay"
"TQ1 1SR","E06000027","Torbay"
"TQ1 1SS","E06000027","Torbay"
"TQ1 1ST","E06000027","Torbay"
"TQ1 1SU","E06000027","Torbay"
"TQ1 1SW","E06000027","Torbay"
"TQ1 1SX","E06000027","Torbay"
"TQ1 1SY","E06000027","Torbay"
"TQ1 1SZ","E06000027","Torbay"
"TQ1 1TA","E06000027","Torbay"
"TQ1 1TB","E06000027","Torbay"
"TQ1 1TD","E06000027","Torbay"
"TQ1 1TE","E06000027","Torbay"
"TQ1 1TF","E06000027","Torbay"
"TQ1 1TG","E06000027","Torbay"
"TQ1 1TH","E06000027","Torbay"
"TQ1 1TJ","E06000027","Torbay"
"TQ1 1TL","E06000027","Torbay"
"TQ1 1TN","E06000027","Torbay"
"TQ1 1TP","E06000027","Torbay"
"TQ1 1TR","E06000027","Torbay"
"TQ1 1TS","E06000027","Torbay"
