pcd,lad23cd,lad23nm
"TR1 1AA","E06000052","Cornwall"
"TR1 1AB","E06000052","Cornwall"
"TR1 1AD","E06000052","Cornwall"
"TR1 1AE","E06000052","Cornwall"
"TR1 1AF","E06000052","Cornwall"
"TR1 1AG","E06000052","Cornwall"
"TR1 1AH","E06000052","Cornwall"
"TR1 1AJ","E06000052","Cornwall"
"TR1 1AL","E06000052","Cornwall"
"TR1 1AN","E06000052","Cornwall"
"TR1 1AP","E06000052","Cornwall"
"TR1 1AQ","E06000052","Cornwall"
"TR1 1AR","E06000052","Cornwall"
"TR1 1AT","E06000052","Cornwall"
"TR1 1AU","E06000052","Cornwall"
"TR1 1AW","E06000052","Cornwall"
"TR1 1AX","E06000052","Cornwall"
"TR1 1AY","E06000052","Cornwall"
"TR1 1AZ","E06000052","Cornwall"
"TR1 1BA","E06000052","Cornwall"
"TR1 1BB","E06000052","Cornwall"
"TR1 1BD","E06000052","Cornwall"
"TR1 1BE","E06000052","Cornwall"
"TR1 1BG","E06000052","Cornwall"
"TR1 1BH","E06000052","Cornwall"
"TR1 1BJ","E06000052","Cornwall"
"TR1 1BL","E06000052","Cornwall"
"TR1 1BN","E06000052","Cornwall"
"TR1 1BP","E06000052","Cornwall"
"TR1 1BQ","E06000052","Cornwall"
"TR1 1BS","E06000052","Cornwall"
"TR1 1BT","E06000052","Cornwall"
"TR1 1BU","E06000052","Cornwall"
"TR1 1BW","E06000052","Cornwall"
"TR1 1BX","E06000052","Cornwall"
"TR1 1BY","E06000052","Cornwall"
"TR1 1BZ","E06000052","Cornwall"
"TR1 1DA","E06000052","Cornwall"
"TR1 1DB","E06000052","Cornwall"
"TR1 1DD","E06000052","Cornwall"
"TR1 1DE","E06000052","Cornwall"
"TR1 1DF","E06000052","Cornwall"
"TR1 1DG","E06000052","Cornwall"
"TR1 1DH","E06000052","Cornwall"
"TR1 1DJ","E06000052","Cornwall"
"TR1 1DL","E06000052","Cornwall"
"TR1 1DN","E06000052","Cornwall"
"TR1 1DP","E06000052","Cornwall"
"TR1 1DQ","E06000052","Cornwall"
"TR1 1DR","E06000052","Cornwall"
"TR1 1DS","E06000052","Cornwall"
"TR1 1DT","E06000052","Cornwall"
"TR1 1DU","E06000052","Cornwall"
"TR1 1DW","E06000052","Cornwall"
"TR1 1DX","E06000052","Cornwall"
"TR1 1DY","E06000052","Cornwall"
"TR1 1DZ","E06000052","Cornwall"
"TR1 1EA","E06000052","Cornwall"
"TR1 1EB","E06000052","Cornwall"
"TR1 1ED","E06000052","Cornwall"
"TR1 1EE","E06000052","Cornwall"
"TR1 1EF","E06000052","Cornwall"
"TR1 1EG","E06000052","Cornwall"
"TR1 1EH","E06000052","Cornwall"
"TR1 1EJ","E06000052","Cornwall"
"TR1 1EL","E06000052","Cornwall"
"TR1 1EN","E06000052","Cornwall"
"TR1 1EP","E06000052","Cornwall"
"TR1 1EQ","E06000052","Cornwall"
"TR1 1ER","E06000052","Cornwall"
"TR1 1ES","E06000052","Cornwall"
"TR1 1ET","E06000052","Cornwall"
"TR1 1EU","E06000052","Cornwall"
"TR1 1EW","E06000052","Cornwall"
"TR1 1EX","E06000052","Cornwall"
"TR1 1EY","E06000052","Cornwall"
"TR1 1EZ","E06000052","Cornwall"
"TR1 1FA","E06000052","Cornwall"
"TR1 1FB","E06000052","Cornwall"
"TR1 1FD","E06000052","Cornwall"
"TR1 1FE","E06000052","Cornwall"
"TR1 1FF","E06000052","Cornwall"
"TR1 1FG","E06000052","Cornwall"
"TR1 1FH","E06000052","Cornwall"
"TR1 1FJ","E06000052","Cornwall"
"TR1 1FL","E06000052","Cornwall"
"TR1 1FN","E06000052","Cornwall"
"TR1 1FP","E06000052","Cornwall"
"TR1 1FQ","E06000052","Cornwall"
"TR1 1FR","E06000052","Cornwall"
"TR1 1FS","E06000052","Cornwall"
