pcd,lad23cd,lad23nm
"TS1 1AA","E06000002","Middlesbrough"
"TS1 1AB","E06000002","Middlesbrough"
"TS1 1AD","E06000002","Middlesbrough"
"TS1 1AE","E06000002","Middlesbrough"
"TS1 1AF","E06000002","Middlesbrough"
"TS1 1AH","E06000002","Middlesbrough"
"TS1 1AN","E06000002","Middlesbrough"
"TS1 1AZ","E06000002","Middlesbrough"
"TS1 1BA","E06000002","Middlesbrough"
"TS1 1DA","E06000002","Middlesbrough"
"TS1 1DB","E06000002","Middlesbrough"
"TS1 1DD","E06000002","Middlesbrough"
"TS1 1DE","E06000002","Middlesbrough"
"TS1 1DF","E06000002","Middlesbrough"
"TS1 1DG","E06000002","Middlesbrough"
"TS1 1DH","E06000002","Middlesbrough"
"TS1 1DL","E06000002","Middlesbrough"
"TS1 1DN","E06000002","Middlesbrough"
"TS1 1DP","E06000002","Middlesbrough"
"TS1 1DQ","E06000002","Middlesbrough"
"TS1 1DR","E06000002","Middlesbrough"
"TS1 1DS","E06000002","Middlesbrough"
"TS1 1DU","E06000002","Middlesbrough"
"TS1 1DW","E06000002","Middlesbrough"
"TS1 1DX","E06000002","Middlesbrough"
"TS1 1EA","E06000002","Middlesbrough"
"TS1 1EB","E06000002","Middlesbrough"
"TS1 1EE","E06000002","Middlesbrough"
"TS1 1EG","E06000002","Middlesbrough"
"TS1 1EH","E06000002","Middlesbrough"
"TS1 1EL","E06000002","Middlesbrough"
"TS1 1EP","E06000002","Middlesbrough"
"TS1 1EQ","E06000002","Middlesbrough"
"TS1 1EX","E06000002","Middlesbrough"
"TS1 1EY","E06000002","Middlesbrough"
"TS1 1EZ","E06000002","Middlesbrough"
"TS1 1GA","E06000002","Middlesbrough"
"TS1 1HA","E06000002","Middlesbrough"
"TS1 1HB","E06000002","Middlesbrough"
"TS1 1HD","E06000002","Middlesbrough"
"TS1 1HE","E06000002","Middlesbrough"
"TS1 1HF","E06000002","Middlesbrough"
"TS1 1HG","E06000002","Middlesbrough"
"TS1 1HJ","E06000002","Middlesbrough"
"TS1 1HL","E06000002","Middlesbrough"
"TS1 1HP","E06000002","Middlesbrough"
"TS1 1HQ","E06000002","Middlesbrough"
"TS1 1HR","E06000002","Middlesbrough"
"TS1 1HS","E06000002","Middlesbrough"
"TS1 1HT","E06000002","Middlesbrough"
"TS1 1HU","E06000002","Middlesbrough"
"TS1 1HW","E06000002","Middlesbrough"
"TS1 1HX","E06000002","Middlesbrough"
"TS1 1HY","E06000002","Middlesbrough"
"TS1 1HZ","E06000002","Middlesbrough"
"TS1 1JA","E06000002","Middlesbrough"
"TS1 1JB","E06000002","Middlesbrough"
"TS1 1JD","E06000002","Middlesbrough"
"TS1 1JH","E06000002","Middlesbrough"
"TS1 1JJ","E06000002","Middlesbrough"
"TS1 1JL","E06000002","Middlesbrough"
"TS1 1JN","E06000002","Middlesbrough"
"TS1 1JP","E06000002","Middlesbrough"
"TS1 1JQ","E06000002","Middlesbrough"
"TS1 1JR","E06000002","Middlesbrough"
"TS1 1JS","E06000002","Middlesbrough"
"TS1 1JT","E06000002","Middlesbrough"
"TS1 1JU","E06000002","Middlesbrough"
"TS1 1JW","E06000002","Middlesbrough"
"TS1 1JX","E06000002","Middlesbrough"
"TS1 1JY","E06000002","Middlesbrough"
"TS1 1JZ","E06000002","Middlesbrough"
"TS1 1LA","E06000002","Middlesbrough"
"TS1 1LB","E06000002","Middlesbrough"
"TS1 1LD","E06000002","Middlesbrough"
"TS1 1LE","E06000002","Middlesbrough"
"TS1 1LF","E06000002","Middlesbrough"
"TS1 1LG","E06000002","Middlesbrough"
"TS1 1LH","E06000002","Middlesbrough"
"TS1 1LJ","E06000002","Middlesbrough"
"TS1 1LL","E06000002","Middlesbrough"
"TS1 1LN","E06000002","Middlesbrough"
"TS1 1LP","E06000002","Middlesbrough"
"TS1 1LR","E06000002","Middlesbrough"
