pcd,lad23cd,lad23nm
"TW1 1AA","E09000027","Richmond upon Thames"
"TW1 1AE","E09000018","Hounslow"
"TW1 1AF","E09000027","Richmond upon Thames"
"TW1 1AG","E09000018","Hounslow"
"TW1 1AH","E09000018","Hounslow"
"TW1 1AJ","E09000018","Hounslow"
"TW1 1AL","E09000018","Hounslow"
"TW1 1AN","E09000018","Hounslow"
"TW1 1AP","E09000018","Hounslow"
"TW1 1AQ","E09000018","Hounslow"
"TW1 1AR","E09000027","Richmond upon Thames"
"TW1 1AS","E09000027","Richmond upon Thames"
"TW1 1AU","E09000018","Hounslow"
"TW1 1AW","E09000027","Richmond upon Thames"
"TW1 1AX","E09000027","Richmond upon Thames"
"TW1 1AY","E09000027","Richmond upon Thames"
"TW1 1AZ","E09000027","Richmond upon Thames"
"TW1 1BA","E09000027","Richmond upon Thames"
"TW1 1BB","E09000027","Richmond upon Thames"
"TW1 1BD","E09000027","Richmond upon Thames"
"TW1 1BE","E09000027","Richmond upon Thames"
"TW1 1BG","E09000027","Richmond upon Thames"
"TW1 1BH","E09000027","Richmond upon Thames"
"TW1 1BJ","E09000027","Richmond upon Thames"
"TW1 1BL","E09000027","Richmond upon Thames"
"TW1 1BN","E09000027","Richmond upon Thames"
"TW1 1BP","E09000027","Richmond upon Thames"
"TW1 1BQ","E09000018","Hounslow"
"TW1 1BS","E09000027","Richmond upon Thames"
"TW1 1BT","E09000027","Richmond upon Thames"
"TW1 1BU","E09000027","Richmond upon Thames"
"TW1 1BW","E09000027","Richmond upon Thames"
"TW1 1BX","E09000027","Richmond upon Thames"
"TW1 1BY","E09000027","Richmond upon Thames"
"TW1 1BZ","E09000027","Richmond upon Thames"
"TW1 1DA","E09000027","Richmond upon Thames"
"TW1 1DB","E09000027","Richmond upon Thames"
"TW1 1DD","E09000027","Richmond upon Thames"
"TW1 1DE","E09000027","Richmond upon Thames"
"TW1 1DF","E09000027","Richmond upon Thames"
"TW1 1DG","E09000027","Richmond upon Thames"
"TW1 1DH","E09000018","Hounslow"
"TW1 1DJ","E09000027","Richmond upon Thames"
"TW1 1DL","E09000018","Hounslow"
"TW1 1DN","E09000018","Hounslow"
"TW1 1DP","E09000018","Hounslow"
"TW1 1DQ","E09000018","Hounslow"
"TW1 1DR","E09000018","Hounslow"
"TW1 1DS","E09000018","Hounslow"
"TW1 1DT","E09000018","Hounslow"
"TW1 1DU","E09000018","Hounslow"
"TW1 1DW","E09000018","Hounslow"
"TW1 1DX","E09000027","Richmond upon Thames"
"TW1 1DY","E09000018","Hounslow"
"TW1 1DZ","E09000018","Hounslow"
"TW1 1EA","E09000027","Richmond upon Thames"
"TW1 1EB","E09000027","Richmond upon Thames"
"TW1 1ED","E09000027","Richmond upon Thames"
"TW1 1EE","E09000027","Richmond upon Thames"
"TW1 1EF","E09000027","Richmond upon Thames"
"TW1 1EG","E09000027","Richmond upon Thames"
"TW1 1EH","E09000027","Richmond upon Thames"
"TW1 1EJ","E09000027","Richmond upon Thames"
"TW1 1EL","E09000027","Richmond upon Thames"
"TW1 1EN","E09000027","Richmond upon Thames"
"TW1 1EP","E09000027","Richmond upon Thames"
"TW1 1EQ","E09000027","Richmond upon Thames"
"TW1 1ER","E09000027","Richmond upon Thames"
"TW1 1ES","E09000027","Richmond upon Thames"
"TW1 1ET","E09000027","Richmond upon Thames"
"TW1 1EU","E09000027","Richmond upon Thames"
"TW1 1EW","E09000027","Richmond upon Thames"
"TW1 1EX","E09000027","Richmond upon Thames"
"TW1 1EY","E09000027","Richmond upon Thames"
"TW1 1EZ","E09000027","Richmond upon Thames"
"TW1 1FA","E09000027","Richmond upon Thames"
"TW1 1FB","E09000027","Richmond upon Thames"
"TW1 1FD","E09000027","Richmond upon Thames"
"TW1 1FE","E09000027","Richmond upon Thames"
"TW1 1FF","E09000027","Richmond upon Thames"
"TW1 1FQ","E09000027","Richmond upon Thames"
"TW1 1GH","E09000027","Richmond upon Thames"
"TW1 1GW","E09000027","Richmond upon Thames"
"TW1 1HA","E09000027","Richmond upon Thames"
"TW1 1HB","E09000027","Richmond upon Thames"
"TW1 1HD","E09000027","Richmond upon Thames"
"TW1 1HE","E09000027","Richmond upon Thames"
"TW1 1HF","E09000027","Richmond upon Thames"
"TW1 1HG","E09000027","Richmond upon Thames"
"TW1 1HJ","E09000027","Richmond upon Thames"
"TW1 1HL","E09000027","Richmond upon Thames"
"TW1 1HN","E09000027","Richmond upon Thames"
"TW1 1HP","E09000027","Richmond upon Thames"
"TW1 1HQ","E09000027","Richmond upon Thames"
"TW1 1HR","E09000027","Richmond upon Thames"
"TW1 1HS","E09000027","Richmond upon Thames"
"TW1 1HT","E09000027","Richmond upon Thames"
"TW1 1HU","E09000027","Richmond upon Thames"
"TW1 1HW","E09000027","Richmond upon Thames"
"TW1 1HX","E09000027","Richmond upon Thames"
"TW1 1HY","E09000027","Richmond upon Thames"
"TW1 1HZ","E09000027","Richmond upon Thames"
"TW1 1JA","E09000027","Richmond upon Thames"
"TW1 1JB","E09000027","Richmond upon Thames"
"TW1 1JD","E09000027","Richmond upon Thames"
"TW1 1JE","E09000027","Richmond upon Thames"
"TW1 1JF","E09000027","Richmond upon Thames"
"TW1 1JG","E09000027","Richmond upon Thames"
"TW1 1JL","E09000018","Hounslow"
"TW1 1JN","E09000027","Richmond upon Thames"
"TW1 1JP","E09000027","Richmond upon Thames"
"TW1 1JQ","E09000027","Richmond upon Thames"
"TW1 1JR","E09000027","Richmond upon Thames"
"TW1 1JS","E09000027","Richmond upon Thames"
"TW1 1JT","E09000027","Richmond upon Thames"
