pcd,lad23cd,lad23nm
"WC1A1AA","E09000007","Camden"
"WC1A1AB","E09000007","Camden"
"WC1A1AD","E09000007","Camden"
"WC1A1AE","E09000007","Camden"
"WC1A1AH","E09000007","Camden"
"WC1A1AJ","E09000033","Westminster"
"WC1A1AL","E09000007","Camden"
"WC1A1AP","E09000007","Camden"
"WC1A1AR","E09000007","Camden"
"WC1A1AS","E09000007","Camden"
"WC1A1AT","E09000007","Camden"
"WC1A1AW","E09000007","Camden"
"WC1A1AX","E09000007","Camden"
"WC1A1AY","E09000007","Camden"
"WC1A1AZ","E09000033","Westminster"
"WC1A1BA","E09000007","Camden"
"WC1A1BE","E09000007","Camden"
"WC1A1BH","E09000007","Camden"
"WC1A1BJ","E09000007","Camden"
"WC1A1BL","E09000007","Camden"
"WC1A1BN","E09000007","Camden"
"WC1A1BQ","E09000007","Camden"
"WC1A1BR","E09000007","Camden"
"WC1A1BS","E09000007","Camden"
"WC1A1BT","E09000007","Camden"
"WC1A1BU","E09000007","Camden"
"WC1A1BW","E09000007","Camden"
"WC1A1BX","E09000007","Camden"
"WC1A1DA","E09000007","Camden"
"WC1A1DB","E09000007","Camden"
"WC1A1DD","E09000007","Camden"
"WC1A1DE","E09000007","Camden"
"WC1A1DF","E09000007","Camden"
"WC1A1DG","E09000007","Camden"
"WC1A1DL","E09000007","Camden"
"WC1A1DN","E09000007","Camden"
"WC1A1DP","E09000007","Camden"
"WC1A1DQ","E09000033","Westminster"
"WC1A1DR","E09000007","Camden"
"WC1A1DS","E09000007","Camden"
"WC1A1DT","E09000007","Camden"
"WC1A1DU","E09000007","Camden"
"WC1A1DW","E09000007","Camden"
"WC1A1DX","E09000007","Camden"
"WC1A1DY","E09000007","Camden"
"WC1A1DZ","E09000007","Camden"
"WC1A1EA","E09000007","Camden"
"WC1A1EB","E09000007","Camden"
"WC1A1ED","E09000033","Westminster"
"WC1A1EE","E09000007","Camden"
"WC1A1EF","E09000007","Camden"
"WC1A1EG","E09000007","Camden"
"WC1A1EH","E09000007","Camden"
"WC1A1EJ","E09000007","Camden"
"WC1A1EN","E09000007","Camden"
"WC1A1EP","E09000007","Camden"
"WC1A1ES","E09000007","Camden"
"WC1A1ET","E09000007","Camden"
"WC1A1EU","E09000007","Camden"
"WC1A1FJ","E09000007","Camden"
"WC1A1GG","E09000007","Camden"
"WC1A1HB","E09000007","Camden"
"WC1A1HD","E09000007","Camden"
"WC1A1HE","E09000007","Camden"
"WC1A1HH","E09000007","Camden"
"WC1A1HJ","E09000007","Camden"
"WC1A1HL","E09000007","Camden"
"WC1A1HN","E09000007","Camden"
"WC1A1HP","E09000007","Camden"
"WC1A1HQ","E09000007","Camden"
"WC1A1HT","E09000007","Camden"
"WC1A1HU","E09000007","Camden"
"WC1A1HX","E09000007","Camden"
"WC1A1HY","E09000007","Camden"
"WC1A1HZ","E09000007","Camden"
"WC1A1JA","E09000007","Camden"
"WC1A1JB","E09000007","Camden"
"WC1A1JD","E09000007","Camden"
"WC1A1JE","E09000007","Camden"
"WC1A1JF","E09000007","Camden"
"WC1A1JG","E09000007","Camden"
"WC1A1JH","E09000007","Camden"
"WC1A1JJ","E09000007","Camden"
"WC1A1JL","E09000007","Camden"
"WC1A1JN","E09000007","Camden"
"WC1A1JP","E09000007","Camden"
"WC1A1JQ","E09000007","Camden"
"WC1A1JR","E09000007","Camden"
"WC1A1JS","E09000007","Camden"
"WC1A1JT","E09000007","Camden"
"WC1A1JU","E09000007","Camden"
"WC1A1JY","E09000007","Camden"
"WC1A1LA","E09000007","Camden"
"WC1A1LB","E09000007","Camden"
"WC1A1LD","E09000007","Camden"
"WC1A1LF","E09000007","Camden"
"WC1A1LG","E09000007","Camden"
"WC1A1LH","E09000007","Camden"
"WC1A1LJ","E09000007","Camden"
"WC1A1LN","E09000007","Camden"
"WC1A1LP","E09000007","Camden"
"WC1A1LQ","E09000007","Camden"
"WC1A1LR","E09000007","Camden"
"WC1A1LT","E09000007","Camden"
"WC1A1LU","E09000007","Camden"
"WC1A1LW","E09000007","Camden"
"WC1A1LX","E09000007","Camden"
"WC1A1LY","E09000007","Camden"
"WC1A1LZ","E09000019","Islington"
"WC1A1NA","E09000007","Camden"
"WC1A1NB","E09000007","Camden"
"WC1A1ND","E09000007","Camden"
"WC1A1NE","E09000007","Camden"
"WC1A1NF","E09000007","Camden"
"WC1A1NG","E09000007","Camden"
"WC1A1NH","E09000007","Camden"
"WC1A1NJ","E09000007","Camden"
"WC1A1NL","E09000007","Camden"
"WC1A1NN","E09000007","Camden"
"WC1A1NP","E09000007","Camden"
"WC1A1NQ","E09000007","Camden"
"WC1A1NR","E09000007","Camden"
"WC1A1NS","E09000007","Camden"
"WC1A1NT","E09000007","Camden"
"WC1A1NU","E09000007","Camden"
"WC1A1NW","E09000007","Camden"
"WC1A1NX","E09000007","Camden"
