pcd,lad23cd,lad23nm
"WF1 1AA","E08000036","Wakefield"
"WF1 1AB","E08000036","Wakefield"
"WF1 1AD","E08000036","Wakefield"
"WF1 1AE","E08000036","Wakefield"
"WF1 1AF","E08000036","Wakefield"
"WF1 1AG","E08000036","Wakefield"
"WF1 1AH","E08000036","Wakefield"
"WF1 1AJ","E08000036","Wakefield"
"WF1 1AL","E08000036","Wakefield"
"WF1 1AN","E08000036","Wakefield"
"WF1 1AP","E08000036","Wakefield"
"WF1 1AQ","E08000036","Wakefield"
"WF1 1AS","E08000036","Wakefield"
"WF1 1BA","E08000036","Wakefield"
"WF1 1BB","E08000036","Wakefield"
"WF1 1BD","E08000036","Wakefield"
"WF1 1BE","E08000036","Wakefield"
"WF1 1BG","E08000036","Wakefield"
"WF1 1BH","E08000036","Wakefield"
"WF1 1BL","E08000036","Wakefield"
"WF1 1BN","E08000036","Wakefield"
"WF1 1BP","E08000036","Wakefield"
"WF1 1BQ","E08000036","Wakefield"
"WF1 1BW","E08000036","Wakefield"
"WF1 1DA","E08000036","Wakefield"
"WF1 1DB","E08000036","Wakefield"
"WF1 1DD","E08000036","Wakefield"
"WF1 1DE","E08000036","Wakefield"
"WF1 1DF","E08000036","Wakefield"
"WF1 1DG","E08000036","Wakefield"
"WF1 1DH","E08000036","Wakefield"
"WF1 1DJ","E08000036","Wakefield"
"WF1 1DL","E08000036","Wakefield"
"WF1 1DP","E08000036","Wakefield"
"WF1 1DR","E08000036","Wakefield"
"WF1 1DS","E08000036","Wakefield"
"WF1 1DT","E08000036","Wakefield"
"WF1 1DU","E08000036","Wakefield"
"WF1 1DW","E08000036","Wakefield"
"WF1 1DX","E08000036","Wakefield"
"WF1 1DY","E08000036","Wakefield"
"WF1 1DZ","E08000036","Wakefield"
"WF1 1EA","E08000036","Wakefield"
"WF1 1EB","E08000036","Wakefield"
"WF1 1ED","E08000036","Wakefield"
"WF1 1EE","E08000036","Wakefield"
"WF1 1EF","E08000036","Wakefield"
"WF1 1EH","E08000036","Wakefield"
"WF1 1EJ","E08000036","Wakefield"
"WF1 1EL","E08000036","Wakefield"
"WF1 1EN","E08000036","Wakefield"
"WF1 1EP","E08000036","Wakefield"
"WF1 1ER","E08000036","Wakefield"
"WF1 1ES","E08000036","Wakefield"
"WF1 1ET","E08000036","Wakefield"
"WF1 1EU","E08000036","Wakefield"
"WF1 1EW","E08000036","Wakefield"
"WF1 1EX","E08000036","Wakefield"
"WF1 1EY","E08000036","Wakefield"
"WF1 1EZ","E08000036","Wakefield"
"WF1 1HA","E08000036","Wakefield"
"WF1 1HB","E08000036","Wakefield"
"WF1 1HD","E08000036","Wakefield"
"WF1 1HE","E08000036","Wakefield"
"WF1 1HF","E08000036","Wakefield"
"WF1 1HG","E08000036","Wakefield"
"WF1 1HL","E08000036","Wakefield"
"WF1 1HN","E08000036","Wakefield"
"WF1 1HP","E08000036","Wakefield"
"WF1 1HQ","E08000036","Wakefield"
"WF1 1HR","E08000036","Wakefield"
"WF1 1HS","E08000036","Wakefield"
"WF1 1HT","E08000036","Wakefield"
"WF1 1HU","E08000036","Wakefield"
"WF1 1HW","E08000036","Wakefield"
"WF1 1HX","E08000036","Wakefield"
"WF1 1HY","E08000036","Wakefield"
"WF1 1HZ","E08000036","Wakefield"
"WF1 1JA","E08000036","Wakefield"
"WF1 1JB","E08000036","Wakefield"
"WF1 1JD","E08000036","Wakefield"
"WF1 1JE","E08000036","Wakefield"
"WF1 1JF","E08000036","Wakefield"
"WF1 1JG","E08000036","Wakefield"
"WF1 1JH","E08000036","Wakefield"
"WF1 1JJ","E08000036","Wakefield"
"WF1 1JL","E08000036","Wakefield"
"WF1 1JN","E08000036","Wakefield"
"WF1 1JP","E08000036","Wakefield"
"WF1 1JQ","E08000036","Wakefield"
"WF1 1JR","E08000036","Wakefield"
"WF1 1JS","E08000036","Wakefield"
"WF1 1JT","E08000036","Wakefield"
"WF1 1JU","E08000036","Wakefield"
"WF1 1JW","E08000036","Wakefield"
"WF1 1JX","E08000036","Wakefield"
"WF1 1JY","E08000036","Wakefield"
"WF1 1JZ","E08000036","Wakefield"
"WF1 1LA","E08000036","Wakefield"
"WF1 1LB","E08000036","Wakefield"
"WF1 1LD","E08000036","Wakefield"
"WF1 1LE","E08000036","Wakefield"
"WF1 1LF","E08000036","Wakefield"
"WF1 1LG","E08000036","Wakefield"
"WF1 1LH","E08000036","Wakefield"
"WF1 1LJ","E08000036","Wakefield"
"WF1 1LN","E08000036","Wakefield"
"WF1 1LP","E08000036","Wakefield"
"WF1 1LQ","E08000036","Wakefield"
"WF1 1LR","E08000036","Wakefield"
"WF1 1LS","E08000036","Wakefield"
"WF1 1LT","E08000036","Wakefield"
"WF1 1LU","E08000036","Wakefield"
"WF1 1LW","E08000036","Wakefield"
"WF1 1LX","E08000036","Wakefield"
"WF1 1LY","E08000036","Wakefield"
"WF1 1LZ","E08000036","Wakefield"
"WF1 1NA","E08000036","Wakefield"
"WF1 1NB","E08000036","Wakefield"
"WF1 1ND","E08000036","Wakefield"
"WF1 1NE","E08000036","Wakefield"
"WF1 1NF","E08000036","Wakefield"
"WF1 1NG","E08000036","Wakefield"
"WF1 1NH","E08000036","Wakefield"
"WF1 1NJ","E08000036","Wakefield"
"WF1 1NL","E08000036","Wakefield"
"WF1 1NN","E08000036","Wakefield"
"WF1 1NP","E08000036","Wakefield"
"WF1 1NQ","E08000036","Wakefield"
"WF1 1NR","E08000036","Wakefield"
"WF1 1NS","E08000036","Wakefield"
"WF1 1NT","E08000036","Wakefield"
"WF1 1NU","E08000036","Wakefield"
"WF1 1NW","E08000036","Wakefield"
"WF1 1NX","E08000036","Wakefield"
"WF1 1PA","E08000036","Wakefield"
"WF1 1PB","E08000036","Wakefield"
"WF1 1PD","E08000036","Wakefield"
"WF1 1PF","E08000036","Wakefield"
"WF1 1PG","E08000036","Wakefield"
"WF1 1PH","E08000036","Wakefield"
"WF1 1PJ","E08000036","Wakefield"
"WF1 1PL","E08000036","Wakefield"
"WF1 1PN","E08000036","Wakefield"
"WF1 1PP","E08000036","Wakefield"
"WF1 1PQ","E08000036","Wakefield"
"WF1 1PR","E08000036","Wakefield"
"WF1 1PS","E08000036","Wakefield"
"WF1 1PT","E08000036","Wakefield"
"WF1 1PU","E08000036","Wakefield"
"WF1 1PW","E08000036","Wakefield"
"WF1 1PY","E08000036","Wakefield"
"WF1 1PZ","E08000036","Wakefield"
"WF1 1QA","E08000036","Wakefield"
"WF1 1QB","E08000036","Wakefield"
"WF1 1QD","E08000036","Wakefield"
"WF1 1QE","E08000036","Wakefield"
"WF1 1QF","E08000036","Wakefield"
"WF1 1QG","E08000036","Wakefield"
"WF1 1QH","E08000036","Wakefield"
"WF1 1QJ","E08000036","Wakefield"
"WF1 1QL","E08000036","Wakefield"
"WF1 1QN","E08000036","Wakefield"
"WF1 1QP","E08000036","Wakefield"
"WF1 1QQ","E08000036","Wakefield"
"WF1 1QR","E08000036","Wakefield"
"WF1 1QS","E08000036","Wakefield"
"WF1 1QT","E08000036","Wakefield"
"WF1 1QU","E08000036","Wakefield"
"WF1 1QW","E08000036","Wakefield"
"WF1 1QX","E08000036","Wakefield"
"WF1 1QY","E08000036","Wakefield"
"WF1 1QZ","E08000036","Wakefield"
"WF1 1RA","E08000036","Wakefield"
"WF1 1RB","E08000036","Wakefield"
"WF1 1RD","E08000036","Wakefield"
"WF1 1RE","E08000036","Wakefield"
"WF1 1RF","E08000036","Wakefield"
"WF1 1RG","E08000036","Wakefield"
"WF1 1RH","E08000036","Wakefield"
"WF1 1RJ","E08000036","Wakefield"
"WF1 1RL","E08000036","Wakefield"
"WF1 1RN","E08000036","Wakefield"
"WF1 1RP","E08000036","Wakefield"
"WF1 1RQ","E08000036","Wakefield"
"WF1 1RR","E08000036","Wakefield"
"WF1 1RS","E08000036","Wakefield"
"WF1 1RU","E08000036","Wakefield"
"WF1 1RW","E08000036","Wakefield"
"WF1 1RX","E08000036","Wakefield"
"WF1 1RY","E08000036","Wakefield"
"WF1 1RZ","E08000036","Wakefield"
"WF1 1SA","E08000036","Wakefield"
"WF1 1SB","E08000036","Wakefield"
"WF1 1SE","E08000036","Wakefield"
"WF1 1SF","E08000036","Wakefield"
"WF1 1SH","E08000036","Wakefield"
"WF1 1SP","E08000036","Wakefield"
"WF1 1SQ","E08000036","Wakefield"
"WF1 1SR","E08000036","Wakefield"
"WF1 1SS","E08000036","Wakefield"
"WF1 1ST","E08000036","Wakefield"
"WF1 1SU","E08000036","Wakefield"
"WF1 1SW","E08000036","Wakefield"
"WF1 1SX","E08000036","Wakefield"
"WF1 1SY","E08000036","Wakefield"
"WF1 1SZ","E08000036","Wakefield"
"WF1 1TA","E08000036","Wakefield"
"WF1 1TB","E08000036","Wakefield"
"WF1 1TD","E08000036","Wakefield"
"WF1 1TE","E08000036","Wakefield"
"WF1 1TF","E08000036","Wakefield"
"WF1 1TG","E08000036","Wakefield"
"WF1 1TH","E08000036","Wakefield"
"WF1 1TJ","E08000036","Wakefield"
"WF1 1TL","E08000036","Wakefield"
"WF1 1TN","E08000036","Wakefield"
"WF1 1TP","E08000036","Wakefield"
"WF1 1TQ","E08000036","Wakefield"
"WF1 1TR","E08000036","Wakefield"
"WF1 1TS","E08000036","Wakefield"
"WF1 1TT","E08000036","Wakefield"
"WF1 1TU","E08000036","Wakefield"
"WF1 1TW","E08000036","Wakefield"
"WF1 1TX","E08000036","Wakefield"
"WF1 1TY","E08000036","Wakefield"
"WF1 1TZ","E08000036","Wakefield"
"WF1 1UA","E08000036","Wakefield"
"WF1 1UB","E08000036","Wakefield"
"WF1 1UD","E08000036","Wakefield"
"WF1 1UE","E08000036","Wakefield"
"WF1 1UF","E08000036","Wakefield"
"WF1 1UG","E08000036","Wakefield"
"WF1 1UH","E08000036","Wakefield"
"WF1 1UJ","E08000036","Wakefield"
"WF1 1UL","E08000036","Wakefield"
"WF1 1UN","E08000036","Wakefield"
"WF1 1UP","E08000036","Wakefield"
"WF1 1UQ","E08000036","Wakefield"
"WF1 1UR","E08000036","Wakefield"
"WF1 1US","E08000036","Wakefield"
"WF1 1UT","E08000036","Wakefield"
"WF1 1UU","E08000036","Wakefield"
"WF1 1UW","E08000036","Wakefield"
"WF1 1UX","E08000036","Wakefield"
"WF1 1UY","E08000036","Wakefield"
"WF1 1UZ","E08000036","Wakefield"
"WF1 1WB","E08000036","Wakefield"
"WF1 1WL","E08000036","Wakefield"
"WF1 1WN","E08000036","Wakefield"
"WF1 1WP","E08000036","Wakefield"
"WF1 1WQ","E08000036","Wakefield"
"WF1 1WS","E08000036","Wakefield"
"WF1 1WT","E08000036","Wakefield"
"WF1 1WW","E08000036","Wakefield"
"WF1 1WX","E08000036","Wakefield"
"WF1 1XA","E08000036","Wakefield"
"WF1 1XB","E08000036","Wakefield"
"WF1 1XD","E08000036","Wakefield"
"WF1 1XE","E08000036","Wakefield"
"WF1 1XF","E08000036","Wakefield"
"WF1 1XG","E08000036","Wakefield"
"WF1 1XH","E08000036","Wakefield"
"WF1 1XJ","E08000036","Wakefield"
"WF1 1XL","E08000036","Wakefield"
"WF1 1XN","E08000036","Wakefield"
"WF1 1XP","E08000036","Wakefield"
"WF1 1XQ","E08000036","Wakefield"
"WF1 1XR","E08000036","Wakefield"
"WF1 1XS","E08000036","Wakefield"
"WF1 1XT","E08000036","Wakefield"
"WF1 1XU","E08000036","Wakefield"
"WF1 1XW","E08000036","Wakefield"
"WF1 1XX","E08000036","Wakefield"
"WF1 1XY","E08000036","Wakefield"
"WF1 1XZ","E08000036","Wakefield"
"WF1 1YA","E08000036","Wakefield"
"WF1 1YB","E08000036","Wakefield"
"WF1 1YD","E08000036","Wakefield"
"WF1 1YE","E08000036","Wakefield"
"WF1 1YF","E08000036","Wakefield"
"WF1 1YG","E08000036","Wakefield"
"WF1 1YH","E08000036","Wakefield"
"WF1 1YJ","E08000036","Wakefield"
"WF1 1YL","E08000036","Wakefield"
"WF1 1YN","E08000036","Wakefield"
"WF1 1YP","E08000036","Wakefield"
"WF1 1YQ","E08000036","Wakefield"
"WF1 1YS","E08000036","Wakefield"
"WF1 1YT","E08000036","Wakefield"
"WF1 1YU","E08000036","Wakefield"
"WF1 1YW","E08000036","Wakefield"
"WF1 1YX","E08000036","Wakefield"
"WF1 1YY","E08000036","Wakefield"
"WF1 1ZA","E08000036","Wakefield"
"WF1 1ZD","E08000036","Wakefield"
"WF1 1ZE","E08000036","Wakefield"
"WF1 1ZF","E08000036","Wakefield"
"WF1 1ZG","E08000036","Wakefield"
"WF1 1ZH","E08000036","Wakefield"
"WF1 1ZJ","E08000036","Wakefield"
"WF1 1ZL","E08000036","Wakefield"
"WF1 1ZN","E08000036","Wakefield"
"WF1 1ZP","E08000036","Wakefield"
"WF1 1ZQ","E08000036","Wakefield"
"WF1 1ZR","E08000036","Wakefield"
"WF1 1ZS","E08000036","Wakefield"
"WF1 1ZT","E08000036","Wakefield"
"WF1 1ZU","E08000036","Wakefield"
"WF1 1ZW","E08000036","Wakefield"
"WF1 1ZX","E08000036","Wakefield"
"WF1 1ZY","E08000036","Wakefield"
"WF1 1ZZ","E08000036","Wakefield"
"WF1 2AA","E08000036","Wakefield"
"WF1 2AB","E08000036","Wakefield"
"WF1 2AD","E08000036","Wakefield"
"WF1 2AE","E08000036","Wakefield"
"WF1 2AF","E08000036","Wakefield"
"WF1 2AG","E08000036","Wakefield"
"WF1 2AH","E08000036","Wakefield"
"WF1 2AJ","E08000036","Wakefield"
"WF1 2AL","E08000036","Wakefield"
"WF1 2AN","E08000036","Wakefield"
"WF1 2AP","E08000036","Wakefield"
"WF1 2AQ","E08000036","Wakefield"
"WF1 2AR","E08000036","Wakefield"
"WF1 2AS","E08000036","Wakefield"
"WF1 2AT","E08000036","Wakefield"
"WF1 2AU","E08000036","Wakefield"
"WF1 2AW","E08000036","Wakefield"
"WF1 2AX","E08000036","Wakefield"
"WF1 2AY","E08000036","Wakefield"
"WF1 2AZ","E08000036","Wakefield"
"WF1 2BA","E08000036","Wakefield"
"WF1 2BB","E08000036","Wakefield"
"WF1 2BD","E08000036","Wakefield"
"WF1 2BE","E08000036","Wakefield"
"WF1 2BG","E08000036","Wakefield"
"WF1 2BH","E08000036","Wakefield"
"WF1 2BJ","E08000036","Wakefield"
"WF1 2BL","E08000036","Wakefield"
"WF1 2BN","E08000036","Wakefield"
"WF1 2BP","E08000036","Wakefield"
"WF1 2BQ","E08000036","Wakefield"
"WF1 2BS","E08000036","Wakefield"
"WF1 2BT","E08000036","Wakefield"
"WF1 2BU","E08000036","Wakefield"
"WF1 2BW","E08000036","Wakefield"
"WF1 2BX","E08000036","Wakefield"
"WF1 2DA","E08000036","Wakefield"
"WF1 2DB","E08000036","Wakefield"
"WF1 2DD","E08000036","Wakefield"
"WF1 2DE","E08000036","Wakefield"
"WF1 2DF","E08000036","Wakefield"
"WF1 2DG","E08000036","Wakefield"
"WF1 2DH","E08000036","Wakefield"
"WF1 2DJ","E08000036","Wakefield"
"WF1 2DL","E08000036","Wakefield"
"WF1 2DN","E08000036","Wakefield"
"WF1 2DP","E08000036","Wakefield"
"WF1 2DQ","E08000036","Wakefield"
"WF1 2DR","E08000036","Wakefield"
"WF1 2DS","E08000036","Wakefield"
"WF1 2DT","E08000036","Wakefield"
"WF1 2DU","E08000036","Wakefield"
"WF1 2DW","E08000036","Wakefield"
"WF1 2DX","E08000036","Wakefield"
"WF1 2DY","E08000036","Wakefield"
"WF1 2DZ","E08000036","Wakefield"
"WF1 2EA","E08000036","Wakefield"
"WF1 2EB","E08000036","Wakefield"
"WF1 2ED","E08000036","Wakefield"
"WF1 2EE","E08000036","Wakefield"
"WF1 2EF","E08000036","Wakefield"
"WF1 2EG","E08000036","Wakefield"
"WF1 2EH","E08000036","Wakefield"
"WF1 2EJ","E08000036","Wakefield"
"WF1 2EL","E08000036","Wakefield"
"WF1 2EN","E08000036","Wakefield"
"WF1 2EP","E08000036","Wakefield"
"WF1 2EQ","E08000036","Wakefield"
"WF1 2ER","E08000036","Wakefield"
"WF1 2ES","E08000036","Wakefield"
"WF1 2ET","E08000036","Wakefield"
"WF1 2EU","E08000036","Wakefield"
"WF1 2EW","E08000036","Wakefield"
"WF1 2EX","E08000036","Wakefield"
"WF1 2EZ","E08000036","Wakefield"
"WF1 2FA","E08000036","Wakefield"
"WF1 2FB","E08000036","Wakefield"
"WF1 2FD","E08000036","Wakefield"
"WF1 2FE","E08000036","Wakefield"
"WF1 2FF","E08000036","Wakefield"
"WF1 2FG","E08000036","Wakefield"
"WF1 2FH","E08000036","Wakefield"
"WF1 2FJ","E08000036","Wakefield"
"WF1 2FL","E08000036","Wakefield"
"WF1 2FN","E08000036","Wakefield"
"WF1 2FP","E08000036","Wakefield"
"WF1 2FQ","E08000036","Wakefield"
"WF1 2FR","E08000036","Wakefield"
"WF1 2FS","E08000036","Wakefield"
"WF1 2FT","E08000036","Wakefield"
"WF1 2FU","E08000036","Wakefield"
"WF1 2FW","E08000036","Wakefield"
"WF1 2FX","E08000036","Wakefield"
"WF1 2FY","E08000036","Wakefield"
"WF1 2FZ","E08000036","Wakefield"
"WF1 2GA","E08000036","Wakefield"
"WF1 2GB","E08000036","Wakefield"
"WF1 2GD","E08000036","Wakefield"
"WF1 2GE","E08000036","Wakefield"
"WF1 2GF","E08000036","Wakefield"
"WF1 2GG","E08000036","Wakefield"
"WF1 2GH","E08000036","Wakefield"
"WF1 2GJ","E08000036","Wakefield"
"WF1 2GL","E08000036","Wakefield"
"WF1 2GN","E08000036","Wakefield"
