pcd,lad23cd,lad23nm
"WS1 1AA","E08000030","Walsall"
"WS1 1AB","E08000030","Walsall"
"WS1 1AE","E08000030","Walsall"
"WS1 1AQ","E08000030","Walsall"
"WS1 1DA","E08000030","Walsall"
"WS1 1DB","E08000030","Walsall"
"WS1 1DD","E08000030","Walsall"
"WS1 1DE","E08000030","Walsall"
"WS1 1DF","E08000030","Walsall"
"WS1 1DG","E08000030","Walsall"
"WS1 1DH","E08000030","Walsall"
"WS1 1DJ","E08000030","Walsall"
"WS1 1DL","E08000030","Walsall"
"WS1 1DN","E08000030","Walsall"
"WS1 1DP","E08000030","Walsall"
"WS1 1DQ","E08000030","Walsall"
"WS1 1DR","E08000030","Walsall"
"WS1 1DS","E08000030","Walsall"
"WS1 1DT","E08000030","Walsall"
"WS1 1DW","E08000030","Walsall"
"WS1 1DX","E08000030","Walsall"
"WS1 1DY","E08000030","Walsall"
"WS1 1DZ","E08000030","Walsall"
"WS1 1EA","E08000030","Walsall"
"WS1 1EB","E08000030","Walsall"
"WS1 1ED","E08000030","Walsall"
"WS1 1EE","E08000030","Walsall"
"WS1 1EF","E08000030","Walsall"
"WS1 1EG","E08000030","Walsall"
"WS1 1EH","E08000030","Walsall"
"WS1 1EJ","E08000030","Walsall"
"WS1 1EL","E08000030","Walsall"
"WS1 1EN","E08000030","Walsall"
"WS1 1EP","E08000030","Walsall"
"WS1 1EQ","E08000030","Walsall"
"WS1 1ER","E08000030","Walsall"
"WS1 1ES","E08000030","Walsall"
"WS1 1ET","E08000030","Walsall"
"WS1 1EU","E08000030","Walsall"
"WS1 1EW","E08000030","Walsall"
"WS1 1EX","E08000030","Walsall"
"WS1 1EY","E08000030","Walsall"
"WS1 1EZ","E08000030","Walsall"
"WS1 1FA","E08000030","Walsall"
"WS1 1GE","E08000030","Walsall"
"WS1 1GF","E08000030","Walsall"
"WS1 1GG","E08000030","Walsall"
"WS1 1GH","E08000030","Walsall"
"WS1 1GL","E08000030","Walsall"
"WS1 1GN","E08000030","Walsall"
"WS1 1GP","E08000030","Walsall"
"WS1 1GQ","E08000030","Walsall"
"WS1 1GR","E08000030","Walsall"
"WS1 1GS","E08000030","Walsall"
"WS1 1GT","E08000030","Walsall"
"WS1 1GU","E08000030","Walsall"
"WS1 1GW","E08000030","Walsall"
"WS1 1GY","E08000030","Walsall"
"WS1 1GZ","E08000030","Walsall"
"WS1 1HA","E08000030","Walsall"
"WS1 1HB","E08000030","Walsall"
"WS1 1HD","E08000030","Walsall"
"WS1 1HE","E08000030","Walsall"
"WS1 1HF","E08000030","Walsall"
"WS1 1HL","E08000030","Walsall"
"WS1 1HN","E08000030","Walsall"
"WS1 1HP","E08000030","Walsall"
"WS1 1HQ","E08000030","Walsall"
"WS1 1HR","E08000030","Walsall"
"WS1 1HS","E08000030","Walsall"
"WS1 1HU","E08000030","Walsall"
"WS1 1HW","E08000030","Walsall"
"WS1 1HX","E08000030","Walsall"
"WS1 1HY","E08000030","Walsall"
"WS1 1HZ","E08000030","Walsall"
"WS1 1JA","E08000030","Walsall"
"WS1 1JB","E08000030","Walsall"
"WS1 1JD","E08000030","Walsall"
"WS1 1JF","E08000030","Walsall"
"WS1 1JG","E08000030","Walsall"
"WS1 1JH","E08000030","Walsall"
"WS1 1JJ","E08000030","Walsall"
"WS1 1JL","E08000030","Walsall"
"WS1 1JN","E08000030","Walsall"
"WS1 1JQ","E08000030","Walsall"
"WS1 1JR","E08000030","Walsall"
"WS1 1JS","E08000030","Walsall"
"WS1 1JT","E08000030","Walsall"
"WS1 1JW","E08000030","Walsall"
"WS1 1JX","E08000030","Walsall"
"WS1 1JY","E08000030","Walsall"
"WS1 1JZ","E08000030","Walsall"
"WS1 1LA","E08000030","Walsall"
"WS1 1LB","E08000030","Walsall"
"WS1 1LD","E08000030","Walsall"
"WS1 1LE","E08000030","Walsall"
"WS1 1LF","E08000030","Walsall"
