pcd,lad23cd,lad23nm
"YO1 0AA","",""
"YO1 0AB","",""
"YO1 0AD","",""
"YO1 0AE","E06000014","York"
"YO1 0AF","",""
"YO1 0AG","E06000014","York"
"YO1 0AH","E06000014","York"
"YO1 0AJ","E06000014","York"
"YO1 0AL","E06000014","York"
"YO1 0AN","E06000014","York"
"YO1 0AP","E06000014","York"
"YO1 0AQ","E06000014","York"
"YO1 0AR","E06000014","York"
"YO1 0AS","E06000014","York"
"YO1 0AT","E06000014","York"
"YO1 0AU","E06000014","York"
"YO1 0AW","E06000014","York"
"YO1 0AX","E06000014","York"
"YO1 0AY","E06000014","York"
"YO1 0AZ","E06000014","York"
"YO1 0BA","E06000014","York"
"YO1 0BB","E06000014","York"
"YO1 0BD","E06000014","York"
"YO1 0BE","E06000014","York"
"YO1 0BF","E06000014","York"
"YO1 0BG","E06000014","York"
"YO1 0BH","E06000014","York"
"YO1 0BJ","E06000014","York"
"YO1 0BL","E06000014","York"
"YO1 0BN","E06000014","York"
"YO1 0BP","E06000014","York"
"YO1 0BQ","E06000014","York"
"YO1 0BR","E06000014","York"
"YO1 0BS","E06000014","York"
"YO1 0BT","E06000014","York"
"YO1 0BU","E06000014","York"
"YO1 0BW","E06000014","York"
"YO1 0BX","E06000014","York"
"YO1 0BY","E06000014","York"
"YO1 0BZ","E06000014","York"
"YO1 0DA","E06000014","York"
"YO1 0DB","E06000014","York"
"YO1 0DD","E06000014","York"
"YO1 0DE","E06000014","York"
"YO1 0DF","E06000014","York"
"YO1 0DG","E06000014","York"
"YO1 0DH","E06000014","York"
"YO1 0DJ","E06000014","York"
"YO1 0DL","E06000014","York"
"YO1 0DN","E06000014","York"
"YO1 0EA","E06000014","York"
"YO1 0EB","E06000014","York"
"YO1 0ED","E06000014","York"
"YO1 0EE","E06000014","York"
"YO1 0EF","E06000014","York"
"YO1 0EG","E06000014","York"
"YO1 0EH","E06000014","York"
"YO1 0EJ","E06000014","York"
"YO1 0EL","E06000014","York"
"YO1 0EN","E06000014","York"
"YO1 0EP","E06000014","York"
"YO1 0EQ","E06000014","York"
"YO1 0ER","E06000014","York"
"YO1 0ES","E06000014","York"
"YO1 0ET","E06000014","York"
"YO1 0EU","E06000014","York"
"YO1 0EW","E06000014","York"
"YO1 0EX","E06000014","York"
"YO1 0EY","E06000014","York"
"YO1 0EZ","E06000014","York"
"YO1 0FA","E06000014","York"
"YO1 0FB","E06000014","York"
"YO1 0FD","E06000014","York"
"YO1 0FE","E06000014","York"
"YO1 0FF","E06000014","York"
"YO1 0FG","E06000014","York"
"YO1 0FJ","E06000014","York"
"YO1 0FL","E06000014","York"
"YO1 0FN","E06000014","York"
"YO1 0FP","E06000014","York"
"YO1 0FQ","E06000014","York"
"YO1 0FR","E06000014","York"
"YO1 0FS","E06000014","York"
"YO1 0FT","E06000014","York"
"YO1 0FW","E06000014","York"
"YO1 0FX","E06000014","York"
"YO1 0FY","E06000014","York"
"YO1 0GA","E06000014","York"
"YO1 0GB","E06000014","York"
"YO1 0GD","E06000014","York"
"YO1 0GE","E06000014","York"
"YO1 0GF","E06000014","York"
"YO1 0GG","E06000014","York"
"YO1 0GH","E06000014","York"
"YO1 0GJ","E06000014","York"
"YO1 0GL","E06000014","York"
"YO1 0GN","E06000014","York"
"YO1 0GP","E06000014","York"
"YO1 0GQ","E06000014","York"
"YO1 0GR","E06000014","York"
"YO1 0GS","E06000014","York"
"YO1 0GT","E06000014","York"
"YO1 0GU","E06000014","York"
"YO1 0GW","E06000014","York"
"YO1 0GX","E06000014","York"
"YO1 0GY","E06000014","York"
"YO1 0GZ","E06000014","York"
"YO1 0HA","E06000014","York"
"YO1 0HB","E06000014","York"
"YO1 0HD","E06000014","York"
"YO1 0HE","E06000014","York"
"YO1 0HF","E06000014","York"
"YO1 0HG","E06000014","York"
"YO1 0HH","E06000014","York"
"YO1 0HJ","E06000014","York"
"YO1 0HL","E06000014","York"
"YO1 0HN","E06000014","York"
"YO1 0HP","E06000014","York"
"YO1 0HQ","E06000014","York"
"YO1 0HR","E06000014","York"
"YO1 0HS","E06000014","York"
"YO1 0HT","E06000014","York"
"YO1 0HU","E06000014","York"
"YO1 0HW","E06000014","York"
"YO1 0HX","E06000014","York"
"YO1 0HY","E06000014","York"
"YO1 0HZ","E06000014","York"
"YO1 0JB","E06000014","York"
"YO1 0JD","E06000014","York"
"YO1 0JE","E06000014","York"
"YO1 0JF","E06000014","York"
"YO1 0JG","E06000014","York"
"YO1 0JH","E06000014","York"
"YO1 0JJ","E06000014","York"
"YO1 0JL","E06000014","York"
"YO1 0JN","E06000014","York"
"YO1 0JP","E06000014","York"
"YO1 0JQ","E06000014","York"
"YO1 0JR","E06000014","York"
"YO1 0JS","E06000014","York"
"YO1 0JT","E06000014","York"
"YO1 0JU","E06000014","York"
"YO1 0JW","E06000014","York"
"YO1 0JX","E06000014","York"
"YO1 0JY","E06000014","York"
"YO1 0JZ","E06000014","York"
"YO1 0LA","E06000014","York"
"YO1 0LB","E06000014","York"
"YO1 0LD","E06000014","York"
"YO1 0LE","E06000014","York"
"YO1 0LF","E06000014","York"
"YO1 0LG","E06000014","York"
"YO1 0LH","E06000014","York"
"YO1 0LJ","E06000014","York"
"YO1 0LL","E06000014","York"
"YO1 0LN","E06000014","York"
"YO1 0LP","E06000014","York"
"YO1 0LQ","E06000014","York"
"YO1 0LR","E06000014","York"
"YO1 0LS","E06000014","York"
"YO1 0LT","E06000014","York"
"YO1 0LU","E06000014","York"
"YO1 0LW","E06000014","York"
"YO1 0LX","E06000014","York"
"YO1 0LY","E06000014","York"
"YO1 0LZ","E06000014","York"
"YO1 0NA","E06000014","York"
"YO1 0NB","E06000014","York"
"YO1 0NE","E06000014","York"
"YO1 0NF","E06000014","York"
"YO1 0NG","E06000014","York"
"YO1 0NH","E06000014","York"
"YO1 0NJ","E06000014","York"
"YO1 0NL","E06000014","York"
"YO1 0NN","E06000014","York"
"YO1 0NP","E06000014","York"
"YO1 0NQ","E06000014","York"
"YO1 0NR","E06000014","York"
"YO1 0NS","E06000014","York"
"YO1 0NT","E06000014","York"
"YO1 0NU","E06000014","York"
"YO1 0NW","E06000014","York"
"YO1 0NX","E06000014","York"
"YO1 0NY","E06000014","York"
"YO1 0NZ","E06000014","York"
"YO1 0PA","E06000014","York"
"YO1 0PB","E06000014","York"
"YO1 0PE","E06000014","York"
"YO1 0PF","E06000014","York"
"YO1 0PG","E06000014","York"
"YO1 0PH","E06000014","York"
"YO1 0PJ","E06000014","York"
"YO1 0PL","E06000014","York"
"YO1 0PN","E06000014","York"
"YO1 0PP","E06000014","York"
"YO1 0PR","E06000014","York"
"YO1 0PS","E06000014","York"
"YO1 0PT","E06000014","York"
"YO1 0PU","E06000014","York"
"YO1 0PW","E06000014","York"
"YO1 0PX","E06000014","York"
"YO1 0PY","E06000014","York"
"YO1 0PZ","E06000014","York"
"YO1 0QA","E06000014","York"
"YO1 0QB","E06000014","York"
"YO1 0QD","E06000014","York"
"YO1 0QE","E06000014","York"
"YO1 0QF","E06000014","York"
"YO1 0QG","E06000014","York"
"YO1 0SA","E06000014","York"
"YO1 0SB","E06000014","York"
"YO1 0SD","E06000014","York"
"YO1 0SE","E06000014","York"
"YO1 0SF","E06000014","York"
"YO1 0SG","E06000014","York"
"YO1 0SH","E06000014","York"
"YO1 0SJ","E06000014","York"
"YO1 0SL","E06000014","York"
"YO1 0SN","E06000014","York"
"YO1 0SP","E06000014","York"
"YO1 0SQ","E06000014","York"
"YO1 0SR","E06000014","York"
"YO1 0SS","E06000014","York"
"YO1 0ST","E06000014","York"
"YO1 0SU","E06000014","York"
"YO1 0SW","E06000014","York"
"YO1 0SX","E06000014","York"
"YO1 0SY","E06000014","York"
"YO1 0SZ","E06000014","York"
"YO1 0TA","E06000014","York"
"YO1 0TB","E06000014","York"
"YO1 0TD","E06000014","York"
"YO1 0TE","E06000014","York"
"YO1 0TF","E06000014","York"
"YO1 0UY","E06000014","York"
"YO1 0ZZ","E06000014","York"
"YO1 1AA","E06000014","York"
"YO1 1AB","E06000014","York"
"YO1 1AD","E06000014","York"
"YO1 1AE","E06000014","York"
"YO1 1AF","E06000014","York"
"YO1 1AG","E06000014","York"
"YO1 1AH","E06000014","York"
"YO1 1AJ","E06000014","York"
"YO1 1AL","E06000014","York"
"YO1 1AX","E06000014","York"
"YO1 1BA","E06000014","York"
"YO1 1BB","E06000014","York"
"YO1 1BR","E06000014","York"
"YO1 1DA","E06000014","York"
"YO1 1DB","E06000014","York"
"YO1 1DD","E06000014","York"
"YO1 1DE","E06000014","York"
"YO1 1DF","E06000014","York"
"YO1 1DG","E06000014","York"
"YO1 1DH","E06000014","York"
"YO1 1DJ","E06000014","York"
"YO1 1DL","E06000014","York"
"YO1 1DN","E06000014","York"
"YO1 1DP","E06000014","York"
"YO1 1DQ","E06000014","York"
"YO1 1DR","E06000014","York"
"YO1 1DS","E06000014","York"
"YO1 1DT","E06000014","York"
"YO1 1DU","E06000014","York"
"YO1 1DW","E06000014","York"
"YO1 1DX","E06000014","York"
"YO1 1DY","E06000014","York"
"YO1 1DZ","E06000014","York"
"YO1 1EA","E06000014","York"
"YO1 1EB","E06000014","York"
"YO1 1ED","E06000014","York"
"YO1 1EE","",""
"YO1 1EF","E06000014","York"
"YO1 1EG","E06000014","York"
"YO1 1EH","E06000014","York"
"YO1 1EJ","E06000014","York"
"YO1 1EL","E06000014","York"
"YO1 1EN","E06000014","York"
"YO1 1EP","E06000014","York"
"YO1 1EQ","E06000014","York"
"YO1 1ER","E06000014","York"
"YO1 1ES","E06000014","York"
"YO1 1ET","E06000014","York"
"YO1 1EU","E06000014","York"
"YO1 1EW","E06000014","York"
"YO1 1EX","E06000014","York"
"YO1 1EY","E06000014","York"
"YO1 1EZ","E06000014","York"
"YO1 1FA","E06000014","York"
"YO1 1FB","E06000014","York"
"YO1 1FD","E06000014","York"
"YO1 1FE","E06000014","York"
"YO1 1FF","E06000014","York"
"YO1 1FG","E06000014","York"
"YO1 1FH","E06000014","York"
"YO1 1FJ","E06000014","York"
"YO1 1FL","E06000014","York"
"YO1 1FN","E06000014","York"
"YO1 1FP","E06000014","York"
"YO1 1FQ","E06000014","York"
"YO1 1FR","E06000014","York"
"YO1 1FS","E06000014","York"
"YO1 1FT","E06000014","York"
"YO1 1FW","E06000014","York"
"YO1 1FX","E06000014","York"
"YO1 1FY","E06000014","York"
"YO1 1FZ","E06000014","York"
"YO1 1GA","E06000014","York"
"YO1 1GB","E06000014","York"
"YO1 1GD","E06000014","York"
"YO1 1GE","E06000065","North Yorkshire"
"YO1 1GG","E06000014","York"
"YO1 1GH","E06000014","York"
"YO1 1GJ","E06000014","York"
"YO1 1GL","E06000014","York"
"YO1 1GN","E06000014","York"
"YO1 1GP","E06000014","York"
"YO1 1GR","E06000014","York"
"YO1 1GS","E06000014","York"
"YO1 1GT","E06000014","York"
"YO1 1GU","E06000014","York"
"YO1 1GW","E06000014","York"
"YO1 1GZ","E06000014","York"
"YO1 1HA","E06000014","York"
"YO1 1HB","E06000014","York"
"YO1 1HD","E06000014","York"
"YO1 1HE","E06000014","York"
"YO1 1HF","E06000014","York"
"YO1 1HG","E06000014","York"
"YO1 1HH","E06000014","York"
"YO1 1HJ","E06000014","York"
"YO1 1HL","E06000014","York"
"YO1 1HN","E06000014","York"
"YO1 1HP","E06000014","York"
"YO1 1HQ","E06000014","York"
"YO1 1HR","E06000014","York"
"YO1 1HS","E06000014","York"
"YO1 1HT","E06000014","York"
"YO1 1HU","E06000014","York"
"YO1 1HW","E06000014","York"
"YO1 1HX","E06000014","York"
"YO1 1HY","E06000014","York"
"YO1 1HZ","E06000014","York"
"YO1 1JA","E06000014","York"
"YO1 1JB","E06000014","York"
"YO1 1JD","E06000014","York"
"YO1 1JF","E06000014","York"
"YO1 1JG","E06000014","York"
"YO1 1JH","E06000014","York"
"YO1 1JJ","E06000014","York"
"YO1 1JL","E06000014","York"
"YO1 1JP","E06000014","York"
"YO1 1JQ","E06000014","York"
"YO1 1JR","E06000014","York"
"YO1 1JS","E06000014","York"
"YO1 1JT","E06000014","York"
"YO1 1JU","E06000014","York"
"YO1 1JW","E06000014","York"
"YO1 1JX","E06000014","York"
"YO1 1JY","E06000014","York"
"YO1 1JZ","E06000014","York"
"YO1 1LA","E06000014","York"
"YO1 1LB","E06000014","York"
