pcd,lad23cd,lad23nm
"ZE1 0AA","S12000027","Shetland Islands"
"ZE1 0AB","S12000027","Shetland Islands"
"ZE1 0AD","S12000027","Shetland Islands"
"ZE1 0AE","S12000027","Shetland Islands"
"ZE1 0AF","S12000027","Shetland Islands"
"ZE1 0AG","S12000027","Shetland Islands"
"ZE1 0AH","S12000027","Shetland Islands"
"ZE1 0AJ","S12000027","Shetland Islands"
"ZE1 0AL","S12000027","Shetland Islands"
"ZE1 0AN","S12000027","Shetland Islands"
"ZE1 0AP","S12000027","Shetland Islands"
"ZE1 0AQ","S12000027","Shetland Islands"
"ZE1 0AR","S12000027","Shetland Islands"
"ZE1 0AS","S12000027","Shetland Islands"
"ZE1 0AT","S12000027","Shetland Islands"
"ZE1 0AU","S12000027","Shetland Islands"
"ZE1 0AW","S12000027","Shetland Islands"
"ZE1 0AX","S12000027","Shetland Islands"
"ZE1 0AY","S12000027","Shetland Islands"
"ZE1 0AZ","S12000027","Shetland Islands"
"ZE1 0BA","S12000027","Shetland Islands"
"ZE1 0BB","S12000027","Shetland Islands"
"ZE1 0BD","S12000027","Shetland Islands"
"ZE1 0BE","S12000027","Shetland Islands"
"ZE1 0BF","S12000027","Shetland Islands"
"ZE1 0BG","S12000027","Shetland Islands"
"ZE1 0BH","S12000027","Shetland Islands"
"ZE1 0BJ","S12000027","Shetland Islands"
"ZE1 0BL","S12000027","Shetland Islands"
"ZE1 0BN","S12000027","Shetland Islands"
"ZE1 0BP","S12000027","Shetland Islands"
"ZE1 0BQ","S12000027","Shetland Islands"
"ZE1 0BR","S12000027","Shetland Islands"
"ZE1 0BS","S12000027","Shetland Islands"
"ZE1 0BT","S12000027","Shetland Islands"
"ZE1 0BU","S12000027","Shetland Islands"
"ZE1 0BW","S12000027","Shetland Islands"
"ZE1 0BX","S12000027","Shetland Islands"
"ZE1 0BY","S12000027","Shetland Islands"
"ZE1 0BZ","S12000027","Shetland Islands"
"ZE1 0DA","S12000027","Shetland Islands"
"ZE1 0DB","S12000027","Shetland Islands"
"ZE1 0DD","S12000027","Shetland Islands"
"ZE1 0DE","S12000027","Shetland Islands"
"ZE1 0DF","S12000027","Shetland Islands"
"ZE1 0DG","S12000027","Shetland Islands"
"ZE1 0DH","S12000027","Shetland Islands"
"ZE1 0DJ","S12000027","Shetland Islands"
"ZE1 0DL","S12000027","Shetland Islands"
"ZE1 0DN","S12000027","Shetland Islands"
